rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1700,2890,13.831490793050829,-13.831490793050829,-13.831490793050829,True,1.72103633610152,0.3399687382706557,0.579575138176586,0.21343457974603686,0.0,0.434811258685267,0.10943480664494384,9.091990975505453,4.722444019604815,1.8888948827534855,20.0,15.0,21.0,13.0,325.0735280847848,1437.112398130652,28.007319894296636
1701,1023,13.83923412043213,-13.83923412043213,-13.83923412043213,True,1.5389919415843816,0.338738234380648,0.8462162030363045,0.16555145935980647,0.0,0.33899083804246244,0.07126717580633238,10.337553444521653,4.825759379648602,2.4019632737539327,20.0,13.0,21.0,13.5,425.23268999380053,1943.466215443207,16.700289209744195
1702,2622,13.850932279944807,-13.850932279944807,-13.850932279944807,True,1.268110448688863,0.3767800464042771,0.4243586508661213,0.1669805292790403,0.0,0.2799608162105083,0.06016452359341371,4.058442613874455,1.0057920965818212,1.1252806331616783,20.0,15.0,21.0,13.0,232.59813467418192,1960.4286358732368,23.48611240996481
1703,2206,13.851518525931041,-13.851518525931041,-13.851518525931041,True,1.7900049486017058,0.3095985937262685,0.43161729532305404,0.18553580591594324,0.0,0.35406638284045433,0.10368396067395884,10.041818041425202,5.5433068785578214,1.994737736211537,13.0,10.0,16.0,12.0,649.6296136991568,2676.400735607966,10.272239519303014
1704,677,13.851969316244936,-13.851969316244936,-13.851969316244936,True,1.6950023697962546,0.33349972419747553,0.5814694467732399,0.10382798116040794,0.0,0.47996368059983424,0.12908922419520094,10.104762983543495,4.692445616700731,1.8988080602297255,22.0,13.0,21.0,13.0,318.3746918620814,2419.931106508603,19.233255097544124
1705,931,13.861440929772854,-13.861440929772854,-13.861440929772854,True,1.8191648722003093,0.38220186839042125,0.5068844544264829,0.141231396068883,0.0,0.3200760188903278,0.07885150627369748,9.017663322411735,5.491832898171921,1.6356831763889554,22.0,12.0,22.0,13.0,284.6311727671165,2312.2387145222046,38.82201144752129
1706,2669,13.87142617760598,-13.87142617760598,-13.87142617760598,True,1.4735838010783318,0.3024505978634311,0.43215794392179935,0.20490028081188838,0.0,0.6019748855810392,0.06224956565545296,10.118177396454165,6.100308238910699,2.392310118339419,19.0,12.0,18.0,10.0,318.9055623787375,1213.8036303741487,26.555129290280153
1707,832,13.87233493001121,-13.87233493001121,-13.87233493001121,True,1.115950285149344,0.3491822700674577,0.6251442835383797,0.17807335859629128,0.0,0.4589493004891695,0.10453346049907901,6.8325503194284565,1.8139998143524565,2.7170136251492236,21.0,13.5,22.0,13.0,267.9631916998027,2647.5638196556047,37.705174442897444
1708,2778,13.878842946746662,-13.878842946746662,-13.878842946746662,True,1.0050485786854153,0.38732159055769444,0.4189359616907704,0.1150898203253746,0.0,0.28103242342212836,0.07209668995768656,6.293136074052782,5.48745905761448,2.294067986249857,20.0,11.0,20.0,15.0,286.2843685988269,2949.089230768498,23.597879265354656
1709,1635,13.887781169935423,-13.887781169935423,-13.887781169935423,True,1.789523144546219,0.35390236115525353,0.6675412272730341,0.23782689832319198,0.0,0.5416281469158428,0.09935780526866082,8.0918960817828,3.2772807295852644,2.1181659474705015,20.0,15.0,18.0,12.0,348.77386748575464,2864.1754608215915,34.62947376763171
