rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
3091,2852,8.861428571428572,-8.861428571428572,-8.861428571428572,True,1.1913705932095646,0.13078692989457322,0.6301490709059092,0.18388416216632048,2.0,10.135590660146699,5.504116521112894,3.5204337839968503,11.19748361695563,5.493062766922273,410.0529329679958,2599.828860928827,0.7545218956544122,0.5601301145862356,6
3092,2903,8.865714285714287,-8.865714285714287,-8.865714285714287,True,1.3697598204778128,0.20869603502408934,0.6036784822402189,0.25657153934728494,9.0,10.069780004143329,8.682482243867415,1.711993219628019,13.437447986275805,7.683958318950264,203.19394012913105,1755.5301021784544,0.7846309640887339,0.6305994331208973,8
3093,731,8.868285714285715,-8.868285714285715,-8.868285714285715,True,1.2778191656328737,0.23729699686169625,0.6872724500222631,0.10977125959470868,4.0,10.029691593955327,6.442518813660237,2.980971378264397,20.202124676115965,11.835143970827804,390.83144944161177,1547.2318653379727,0.9293960429684814,0.9045749062363566,8
3094,2808,8.876571428571427,-8.876571428571427,-8.876571428571427,True,1.270502539224605,0.2560469279000047,0.8665915526564247,0.22841645159303686,0.0,9.895706018954916,9.788858933082256,1.5586400118381338,22.073440587577558,12.83470985087871,467.73455517518516,2567.951171447126,0.7505435374838502,0.6046064665470336,8
3095,832,8.877428571428572,-8.877428571428572,-8.877428571428572,True,0.9160138149466366,0.3071667983962198,0.3039168425634905,0.17546148782040696,3.0,9.883636207688882,9.141135733819988,1.5063935616441155,20.597285185868103,8.729647730270234,207.98077982506828,1806.3691897130109,0.8269047306978572,0.9156769807025434,8
3096,2604,8.888571428571428,-8.888571428571428,-8.888571428571428,True,1.4335774294898618,0.2986051974337621,0.5970025251799704,0.216502124460082,6.0,9.704841527842163,7.536807843958362,2.8304653138806044,15.498002954009184,8.769000208164243,349.05212236001825,2984.950181200379,0.6082653771964026,0.7571601217409063,6
3097,1465,8.891142857142857,-8.891142857142857,-8.891142857142857,True,1.8034678019292651,0.17700938920519843,0.44886539213480575,0.23321052714115928,5.0,9.666652049907304,7.3630843170042155,2.952103854505413,21.590248606992574,15.390332881203586,395.5903118602571,2729.4808137433183,0.7384930069890956,0.7937536216302823,8
3098,2100,8.892285714285714,-8.892285714285714,-8.892285714285714,True,1.1899403309639545,0.3746557086068762,0.7967236050093451,0.2209708892673798,3.0,9.649696863920301,6.422972534354635,2.6641192878596485,16.58294951649765,7.457594918147011,338.31199894277484,2543.966067954898,0.7046911368321007,0.674160367809236,8
3099,130,8.896571428571429,-8.896571428571429,-8.896571428571429,True,1.6602474839524266,0.27131917841233877,0.8913803666014566,0.16362150930130853,3.0,9.58037352393334,8.626229802841468,3.1268904731990634,14.952938643062383,7.345259612901993,270.65998447093784,2501.3465894870474,0.7988342707279139,0.9638598278721566,8
3100,2063,8.900571428571428,-8.900571428571428,-8.900571428571428,True,1.7601579256653879,0.3513060734667834,0.5683945521712304,0.2643252525249585,6.0,9.517003601082731,5.568703222272573,3.6798402121690534,13.629589402039963,5.575955980921019,499.35575769056595,1297.0161302825218,0.6961076192953769,0.9148025869561406,6
3101,636,8.914,-8.914,-8.914,True,1.197097794295475,0.30054443988949064,0.7403163760900497,0.24370519829913972,9.0,9.301271625596998,8.36840363057894,1.3982518925331533,11.192127340473235,6.130520938400015,454.0026992559433,2788.7234650552273,0.5873597655445337,0.6146233472973108,6
3102,484,8.916285714285713,-8.916285714285713,-8.916285714285713,True,1.1676887382699113,0.2445760335252638,0.7759909082738443,0.1760753161455371,6.0,9.267297716339495,7.966405707023984,2.1589052292988518,16.861270512871293,9.865858850318363,301.6495485552607,2090.0963731110096,0.7119704786182717,0.6942745419151872,6
3103,2495,8.916285714285713,-8.916285714285713,-8.916285714285713,True,0.9957266076639295,0.2986829187899249,0.8817270328072827,0.19554181977054266,9.0,9.266817288402546,8.539515633213849,2.5046130319136286,16.80519062674854,7.836481041519393,311.83664504055275,1487.9943028986822,0.6976430228844368,0.8028422529081032,8
3104,839,8.928285714285714,-8.928285714285714,-8.928285714285714,True,1.445785746277098,0.27292301549876097,0.6129011310702025,0.11338082405683725,6.0,9.07794194283954,8.167025844765597,1.9437575847650892,15.030900759469267,6.327104440117729,266.50010615899635,2506.0662694925763,0.6755860945599175,0.7377400043872397,8
