rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
2047,679,26.101755678014356,-26.101755678014356,-26.101755678014356,True,1.0693345891311765,0.3043915624646886,0.46240750308116974,0.2614274596253765,0.0,0.3948741818437871,9.008835956799102,0.33181940826781897,2.0624812735828786,17.0,12.0,15.0,10.0,296.9902142280291,2073.5142796968507,15.927931833504624
2048,780,26.111911140512937,-26.111911140512937,-26.111911140512937,True,1.7143034519926736,0.350064638857269,0.3378893396737084,0.27552378089454316,0.0,0.41484540157114297,1.596982458221147,0.1299461553111243,2.1792729772548753,14.0,8.5,24.0,12.0,551.0687420093095,2159.4143379479647,4.4464806188417505
2049,698,26.11643871530132,-26.11643871530132,-26.11643871530132,True,1.5559586636252207,0.2897773303464055,0.42141099510982427,0.17905510844717865,1.0,0.2375780112000945,6.880043348873861,0.8376888228415655,1.6584929315636234,22.0,10.0,17.0,8.0,438.8728254940361,2229.2666843634884,29.69216026068265
2050,2871,26.12967820852857,-26.12967820852857,-26.12967820852857,True,1.2230130662388565,0.3273866609302086,0.6494518356757197,0.2721013585480444,1.0,0.1039991929191966,3.2945940968812977,0.7754367696231679,3.3331283382395425,21.0,13.0,10.0,6.0,509.28105479106307,1861.2992836984336,0.4119163495917064
2051,830,26.13424277916263,-26.13424277916263,-26.13424277916263,True,1.8253990250188856,0.2456115797432213,0.7154046569019556,0.2770145808862688,1.0,0.31355740128785115,7.121835292550644,3.6622088965373267,2.8200656127377908,10.0,6.0,20.0,13.0,457.31171910116433,2655.2705174668254,25.926548889479232
2052,1214,26.138348203110894,-26.138348203110894,-26.138348203110894,True,1.6095464939601718,0.2695299842797504,0.5204369085475616,0.2901524858012643,2.0,0.1284502608407197,3.616480194314679,3.189003230174176,1.8195390195862666,16.0,10.0,16.0,10.0,538.1457058470452,2600.1668747526055,27.919578891467406
2053,689,26.14181167999807,-26.14181167999807,-26.14181167999807,True,1.2465177123618554,0.38888146851923666,0.7585430830929897,0.14763592585921287,5.0,0.3083580559464171,1.4943417201898583,0.28035805037015393,1.6540880975272585,20.0,15.0,12.0,8.0,618.1152092030676,1969.509616718582,27.84661478888289
2054,2646,26.14204722587301,-26.14204722587301,-26.14204722587301,True,1.6150574256761605,0.3256441820956555,0.5054132995420043,0.2577105798606517,1.0,0.45392216258650075,7.415171415959689,2.2453708325722452,1.7223613203182815,20.0,15.0,18.0,8.0,349.33875665140744,1608.1563778208606,19.740497970023167
2055,2282,26.14437350691415,-26.14437350691415,-26.14437350691415,True,1.5496547098705957,0.2391177085169443,0.6073708658231672,0.26538976736070924,0.0,0.3814212350333109,11.254616195607625,4.203507509883978,2.2076083252581635,20.0,15.0,20.0,11.0,223.380537993141,1047.445121451859,33.95217615674764
2056,1242,26.157721686704875,-26.157721686704875,-26.157721686704875,True,1.6584393659862886,0.2837740452008867,0.6484710159160075,0.13758007384017049,1.0,0.27098486182831166,6.91987070756247,1.3673824947038167,2.949238781843161,13.0,10.0,20.0,13.0,408.6720432837657,1031.8051464010803,29.29946009069681
2057,2371,26.15936910283908,-26.15936910283908,-26.15936910283908,True,1.7721787185527798,0.196710059812179,0.6720576499622035,0.20218056865298678,0.0,0.12618549122304598,2.688434601427213,1.0993673197865022,1.2681932105960037,18.0,10.0,21.0,13.5,498.892739026586,2431.1429753597463,26.3755094463676
2058,2372,26.16007811586288,-26.16007811586288,-26.16007811586288,True,1.4680695961616868,0.2967687283464621,0.38772369351742897,0.1420380411553596,1.0,0.3808881401407271,7.005333541020636,6.964758041666345,2.7237252017491076,16.0,12.0,20.0,15.0,236.02650103255743,1762.147823554597,32.37299708573061
2059,268,26.16302284059909,-26.16302284059909,-26.16302284059909,True,1.55149568809177,0.2592206997810533,0.513952300739147,0.2986935191042721,2.0,0.24262626864976028,6.9102292796109905,0.5547662943903457,1.5735793612560327,17.0,10.0,20.0,10.0,305.28786503200496,2294.963389974797,11.537788139240241
