rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
74,73,-1.5,1.5,True,1.009049168530104,0.37994190095007196,0.7985903379546352,0.21903975692478303,5.0,19.67884357875605,1.3976103373237658,20.357565218343996,11.779651590966527,422.3593898175483,2004.258814829434,0.7739589084789856,0.8885335377367771
75,74,-1.5,1.5,True,1.4988345027084493,0.3602556107295264,0.8622431661095025,0.21503034338500018,5.0,19.7447920277103,1.4097673558722363,17.541162097747343,12.31765841722522,410.2078669168851,1605.735052634282,0.9792597434629204,0.7597550949045415
76,75,-1.5,1.5,True,1.4722450233038358,0.3640121331168008,0.816644808564416,0.2360769175016338,5.0,19.53093652797699,1.723089720336652,23.391787391002886,11.272004221892605,450.256525399516,2275.483695312854,0.8590852867059762,0.9911923068458331
77,76,-1.5,1.5,True,1.1318032243041238,0.3358472028383847,0.7090689647173398,0.2343853344019507,4.0,21.61655478028555,2.0901133738213833,17.457998247357988,12.300526359334393,429.48388865626083,2050.4715760392132,0.9127590767997658,0.7363280828514641
78,77,-1.5,1.5,True,1.0064817427898154,0.35982856572363897,0.8696226254688666,0.2826043577191316,4.0,21.20210916104679,1.2707332639970228,16.063914291331876,11.218067260716484,386.30917241403364,1508.9526005316193,0.9694909570787863,0.772615749292933
79,78,-1.5,1.5,True,0.9990039108362665,0.34792468596336557,0.8420100456750258,0.2615491760664771,5.0,20.69487027508776,2.158881112151195,15.933122972423048,10.404949957485767,417.2595226956123,1470.634134352802,0.8119323907870516,0.8643918746045256
80,79,-1.5,1.5,True,0.9800064416431368,0.38044576039705547,0.6332592826133343,0.23286884921970494,5.0,19.74087867204313,1.4942679810380306,15.52676416361976,12.058989905796544,406.56382039413,2118.181118179413,0.910799555558464,0.7038467749434507
81,80,-1.5,1.5,True,1.1481716450404735,0.3158445007449599,0.893805700223339,0.1485919184904852,5.0,20.16671822545609,1.9178660010052728,18.24005577942421,12.075362376474732,408.74324520718193,2438.1361724921303,0.8783443436392767,0.7147778464185408
82,81,-1.5,1.5,True,1.292479347534819,0.3741269883131234,0.43332052372751306,0.11617572451311134,5.0,21.431812689115485,2.7705121227758043,19.15851208044128,11.102540480944226,475.3161350773754,1622.01835263859,0.8544281569751374,0.71223042965016
83,82,-1.5,1.5,True,1.0765779645481168,0.341483407318949,0.8556375819741353,0.18024433930921638,5.0,20.776279607787863,1.709117008440241,18.665741922295872,11.540444207560594,422.3702872378087,1511.948229771311,0.8168418055249415,0.8302843161865515
84,83,-1.5,1.5,True,1.3127990472008,0.3740371721648743,0.8111699943905728,0.22113190319617976,4.0,19.20849886198468,1.7256716841643676,22.81250277056263,12.656437370129405,417.2280012224397,2317.234466842735,0.9882191298428368,0.8773536211714179
85,84,-1.5,1.5,True,1.2094285110760516,0.3436712108774325,0.8305072229941325,0.25197494730321796,5.0,21.095110196367457,1.4265062979895071,18.902003797058434,11.47922678313515,429.8832192553088,1754.474277960714,0.8949860488243333,0.7684817231107859
86,85,-1.5,1.5,True,1.1131120397925378,0.38093354649121075,0.782621938238202,0.22340598840498482,5.0,21.758126484346008,3.717253071110978,17.40691466564386,9.717180393555,413.9891467465627,1841.658361611632,0.921703201722395,0.8540884625374177
87,86,-1.5,1.5,True,0.9869804666630482,0.37333527428733454,0.536477719427539,0.1227138516470156,5.0,20.59908277320309,1.192659855836574,20.537218419976806,10.661295986001141,426.9401414814953,2175.1954559984056,0.9666816334725905,0.8540817997314611
88,87,-1.5,1.5,True,1.0704515496256117,0.34883429292200707,0.7044854167468365,0.21039365149486433,5.0,20.142045980477054,2.0067248150971246,16.114293495212813,10.958454875260491,400.1174933994042,1807.7917659150714,0.9976123287638413,0.9636555459619937
89,88,-1.5,1.5,True,1.2044668346888503,0.3530352914665875,0.8872401993416672,0.21264923266438376,5.0,19.74960208795099,1.5847967725203076,18.31188094453448,13.307470613153948,451.1095350897623,1668.2583011414793,0.7678342170242052,0.9821256424229525
90,89,-1.5,1.5,True,1.0963156438010089,0.3467873849694222,0.8338007976706336,0.16906856605027154,5.0,20.81457687096038,1.8286331549748434,21.280570712711725,11.478955852955647,427.3968172285749,2519.8718608310514,0.8390980511280364,0.8613411427676565
