rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1795,2569,48.6351778507527,-48.6351778507527,-48.6351778507527,True,1.5420129738770425,0.25057426586747167,0.7618854409083724,0.2874929185956716,1.0,0.3415808755930513,0.09822960958881304,20.32066524373229,9.31239134946366,1.396676112067055,10.444611795246601,4.347185911452516,347.2442241385579,2457.410452887416,0.5630428767763078,0.505456228274852
1796,2137,48.644291699678135,-48.644291699678135,-48.644291699678135,True,1.0872626987931473,0.1935812487767623,0.6312371981831554,0.2689760596251066,2.0,0.5607741536384917,0.15183933967079316,10.733894228015828,8.36901579509746,1.625870412064565,18.97867518942803,13.455877486597515,501.6744219257545,2300.397027283907,0.8406976858240958,0.728866564747236
1797,1961,48.69797029707423,-48.69797029707423,-48.69797029707423,True,1.4101785173272574,0.35013949241489173,0.3852767786600748,0.17233649069160412,3.0,0.41761181888995813,0.12244640143076288,8.397944413006577,3.88730213244132,1.720708794287733,10.318852653726935,7.62620828047619,543.4287780770144,2458.7541872411043,0.7043971973063308,0.740613388363272
1798,362,48.726842391300245,-48.726842391300245,-48.726842391300245,True,1.6953390405773958,0.15994067546435592,0.3526964726604115,0.15109600825306932,1.0,0.553804364712487,0.11726473438428525,5.091374804150149,1.8739293176962946,2.4671568228739336,10.845949932104897,5.038404422789867,632.8932290971502,1592.8941048284464,0.7000803673263174,0.7774296861394652
1799,2843,48.744910090916754,-48.744910090916754,-48.744910090916754,True,1.3923239851130105,0.27146965248845106,0.5863151874391364,0.18324938971798685,5.0,0.2069483536858445,0.12747880616586948,6.474963819323847,4.07244767792897,2.7967131310468862,15.736675612290728,6.6127677069779205,464.78557118946776,1735.4946450374134,0.9893417833534328,0.7539368765013474
1800,102,48.74914729151871,-48.74914729151871,-48.74914729151871,True,1.2727383636778418,0.28921872800255344,0.39162786061428745,0.12818062378550385,9.0,0.2562896336372941,0.1178061881246045,1.18533154922536,0.6084653755617069,1.0179096921472937,17.477454356849194,10.574810463982946,373.2386809773743,2611.089388298124,0.7758469190448523,0.5144372056238353
1801,881,48.786627678164116,-48.786627678164116,-48.786627678164116,True,1.2428479159517387,0.37728140160352186,0.7082190355491337,0.28134036824107167,6.0,0.24474533016451347,0.0651851010230867,5.518862049778853,4.776004291864055,1.4844662804861326,23.29197750900149,10.258160045106568,600.5817941709072,2026.3884719461203,0.719382944827703,0.7128303210947824
1802,1185,48.791064472936924,-48.791064472936924,-48.791064472936924,True,1.6990588485305524,0.37003753335628153,0.695188659331147,0.1509479077321078,6.0,0.22883837669088525,0.10324595919897003,4.870908979244511,2.335860496599558,2.62848376728826,10.869962746460494,5.298280572201992,604.8168465060962,2149.0620895132124,0.7014641061214212,0.9426806508265806
1803,2735,48.79145697249429,-48.79145697249429,-48.79145697249429,True,1.567543580311179,0.3172790028888135,0.8733620637775941,0.19466548422461852,1.0,0.426165700437911,0.12042938567050848,20.190423320894475,8.495850238490874,2.754357788525928,14.042764299952324,6.663837315555117,303.87855866015286,2117.7105631755653,0.9351972498116411,0.7832509887782673
1804,2018,48.80598472865034,-48.80598472865034,-48.80598472865034,True,1.3524808573331684,0.15658291652798653,0.8445079766213894,0.08086263624951245,2.0,0.5297372206706553,0.0543282794918865,9.639886712589075,3.3200467481454794,1.6274154294986982,10.46326422598213,7.287838645035615,378.07274078950286,2068.694233894348,0.933455266058445,0.8047782825306058
1805,585,48.81285714285714,-48.81285714285714,-48.81285714285714,True,1.607193159750104,0.13461244381964207,0.30624554827809325,0.2919120690412819,0.0,0.6080522047307342,0.053941613749228415,10.90807902222,10.6640111899124,1.3279982483064803,23.22821388952434,14.441388468335685,229.94340904988348,1410.25828756392,0.518704894464463,0.8613470178097486
1806,2111,48.83384061956869,-48.83384061956869,-48.83384061956869,True,0.988334544801712,0.3226302606984973,0.6277935141697526,0.28430347966158004,6.0,0.4327954423045425,0.1523858822106205,2.3649228496496235,0.3235466432515537,1.3309196780124992,16.433722649792404,9.714159682093634,534.1083429288119,1116.2461292200974,0.9354175038427075,0.7981093310213335
1807,1521,48.840492166320104,-48.840492166320104,-48.840492166320104,True,1.5455785504642126,0.35059486766196013,0.6490158889952516,0.28481439493159183,3.0,0.547234442735484,0.06927335227178409,9.930584218894218,3.28400711730162,1.1873201977135053,13.000342611720942,5.283171774401909,329.1082937349576,2167.791573052347,0.7082424268030623,0.6001116119365395
1808,2578,48.854889146407416,-48.854889146407416,-48.854889146407416,True,1.7493570742726325,0.26565502484376274,0.8681108761931573,0.25184615833046897,1.0,0.32649331496624245,0.12341245193505755,20.56306009899927,0.9924338698875417,1.109563040974978,10.319095678841087,5.2240885575322595,366.15810690685805,1424.9224103987217,0.9369090241380036,0.9420251015639594
1809,368,48.869957668671205,-48.869957668671205,-48.869957668671205,True,1.7695114453218879,0.13135649036616087,0.3641255730763078,0.22594977332279087,9.0,0.25511856168843805,0.03138470248496159,1.549307516959594,0.7830050557386201,1.460082098036199,10.90908131096512,6.3474730813980855,514.7467945236713,1295.5191005021334,0.9777042027562857,0.8259856784716249
1810,1106,48.87459128889201,-48.87459128889201,-48.87459128889201,True,1.3880557000661171,0.2141856422663948,0.5195373360067606,0.16195264575094512,3.0,0.4288530337289041,0.12468713346811175,9.0826094565141,4.007262622017379,2.5674764780909256,15.878186896443367,9.419464324739998,358.2645648202582,1529.2781064336805,0.9988070620125861,0.7647207244299352
1811,2956,48.87668980332537,-48.87668980332537,-48.87668980332537,True,1.5762279940918438,0.37041776699694584,0.584782756698138,0.1967759298637228,2.0,0.3811865149777632,0.1406688976547833,14.106278298352112,10.52846052562586,2.4082171167067132,13.013880711430645,7.425253379886891,361.6132029797882,2228.0206030144673,0.9253559384807841,0.648301490147068
1812,1849,48.878237266312695,-48.878237266312695,-48.878237266312695,True,1.4727701489247667,0.21489915712144897,0.48576181121170525,0.09903542124780015,6.0,0.3770605033829672,0.016854660581686554,0.5349959463847398,0.493416768393665,2.6306731551641436,14.612989356948912,6.820218269447279,545.9255784624474,2261.9789726609106,0.5766061312168901,0.6673091252731129
1813,2873,48.88107908552871,-48.88107908552871,-48.88107908552871,True,1.5739794875271618,0.13704125285148622,0.737504280196603,0.15040821186806808,8.0,0.23490751245072686,0.0729690731067686,3.262943313096919,1.114225375699185,2.1304914478442463,10.834168819710612,6.855793907732551,448.71247666888155,1451.4634921718803,0.8509859538729012,0.8371052391354465
1814,1792,48.91915731646908,-48.91915731646908,-48.91915731646908,True,1.165108656069606,0.3083333243247553,0.6350072314962745,0.166826773677215,1.0,0.2499757870484143,0.14004608017224818,21.404147927053693,18.03357642435326,3.0876030491028104,16.140557402537905,9.642279847922973,493.4965346348454,2978.7578396906265,0.534736161698597,0.6235368932743242
1815,2678,48.99918879117208,-48.99918879117208,-48.99918879117208,True,1.5322527933537962,0.35072103962076495,0.43345306366682057,0.18605788378883337,2.0,0.49810226281929304,0.12057347436491579,13.50329704494795,2.2128158863008878,3.191554260693048,10.826847833896322,5.460926817320917,515.6581802293658,1552.3539063188591,0.785424314904958,0.7748931013300279
1816,2522,49.01088940290596,-49.01088940290596,-49.01088940290596,True,1.3315783100622005,0.39594879243583986,0.7067427655647143,0.20204776741848274,6.0,0.3539204259851447,0.14548103449032024,5.703280225808214,0.46855543956144885,2.8188200655687305,12.151692846280685,6.999606594487644,456.05567861766747,2761.67092846,0.8486385089903439,0.6547090024641173
1817,1977,49.020254601732915,-49.020254601732915,-49.020254601732915,True,0.9142364798370749,0.29988875925540925,0.32132248263806096,0.19101042184978723,1.0,0.29863877045251425,0.08735206894762813,14.049216934681183,0.21737523417920812,2.1213547740433665,11.630093990825117,8.12152830867521,547.9482572991401,2209.3126457184553,0.9278004323132336,0.7267988594248891
1818,2171,49.02474808485878,-49.02474808485878,-49.02474808485878,True,1.3562470570225464,0.27577373211693634,0.5591951681139287,0.26254540032986506,3.0,0.401801337899672,0.13910378252958985,5.488234018650665,0.7300465804576106,2.6380741603038667,11.80617797637776,7.1481807242906665,519.8192888870835,2018.4184298457415,0.7209685752199507,0.918395800050348
1819,2905,49.03255127642426,-49.03255127642426,-49.03255127642426,True,1.2697822723707808,0.3338325445209968,0.7621817835387192,0.2482769937440753,0.0,0.5450007145922631,0.11511182608649317,42.438285221743115,4.349582302796925,2.180047413039918,13.998774475023309,9.083979800024682,368.7673313137332,2256.2160346812334,0.8361777337501897,0.8290016688406467
1820,2543,49.034195331314095,-49.034195331314095,-49.034195331314095,True,1.4561561396508287,0.2758956754197942,0.7677970558100838,0.2814665958517829,1.0,0.2783250988717055,0.14396712607086107,16.64257186723964,1.1725533819184975,3.031584855919789,12.205374404447351,9.073000349976391,567.3072387103117,1986.2975730823027,0.8025997178638217,0.9374351594597101
1821,999,49.05278507968893,-49.05278507968893,-49.05278507968893,True,1.2827324971406977,0.2468555709005875,0.8600553607976507,0.19891663101156642,9.0,0.5579458450492251,0.05932493107113114,0.6109991550442757,0.47615035441344133,2.4216644648659527,14.39428927775664,9.361063867186319,344.3084620430684,2761.510224332274,0.6780046054127181,0.8721332356369007
1822,958,49.09348676425819,-49.09348676425819,-49.09348676425819,True,1.1421400859684574,0.18210528063557369,0.7600291533395649,0.24075688353677976,0.0,0.467797167230546,0.14327865904697035,43.20353831387449,4.263456313601864,1.8546079722118556,13.064541006460786,5.421581333001737,548.2004912804682,1549.9707292802398,0.7616362527925837,0.5972750926027688
1823,1575,49.11270677149292,-49.11270677149292,-49.11270677149292,True,1.036528831347562,0.28123593989267737,0.8077669208228756,0.19267201075330376,2.0,0.4829554106242954,0.12314908149130642,13.688571144066458,11.94326197094193,2.13870590984559,18.596381252108063,8.176161110000844,227.76834960095584,2762.9022603541107,0.6014446360059083,0.8068297067657113
1824,966,49.12809523809524,-49.12809523809524,-49.12809523809524,True,1.692672404842451,0.2459408258446572,0.6035880219362202,0.2676164133660495,8.0,0.3522020124413072,0.06920703060555908,0.6137317321021598,0.5999589456859411,2.7688715594989723,17.456273687487226,12.193074753684296,549.7520089504884,1101.1223786975197,0.8995453353847443,0.7429544175638246
1825,689,49.1463709694243,-49.1463709694243,-49.1463709694243,True,1.739793837738037,0.19601534362882378,0.8607745684683323,0.1335323584447452,3.0,0.3738454350885003,0.11926616976165608,7.101238084355543,1.7967532169760148,1.855597809164502,17.107239048928022,10.791932674390077,623.8567068047267,2143.92023814373,0.7736963937059045,0.697015886195004
1826,115,49.16919299980505,-49.16919299980505,-49.16919299980505,True,1.560860514102131,0.3325899437069893,0.5839837102219463,0.13468076081946492,1.0,0.3332120199635624,0.10053306239796803,20.763378532819583,9.590846858489655,1.1438845659832697,13.357338095083833,8.708015780120903,267.02315914444625,2736.371923238039,0.6255863583646715,0.6312273661606014
1827,2940,49.2301316881981,-49.2301316881981,-49.2301316881981,True,1.5996756708785131,0.27589800341361653,0.6105182799237113,0.08365905460253642,1.0,0.5990893449475918,0.14372920354435642,19.18022018353957,1.9403069926743655,1.6765976682591597,13.918486500494517,7.851580653271922,334.52170342851497,1568.8679811403656,0.8365590190625545,0.741053781867819
1828,2537,49.23384135210832,-49.23384135210832,-49.23384135210832,True,1.2925566303567886,0.22611438523329483,0.5519915866299681,0.21295218334304492,6.0,0.23623257227590877,0.092621920157969,4.415123664094715,2.9245202476444376,2.5049882856342696,13.8511536036659,9.043609951141258,420.6016620492239,2876.640351663381,0.8746606123570618,0.7751293527284704
1829,1475,49.2511827161315,-49.2511827161315,-49.2511827161315,True,1.2498841166105121,0.20879690181463956,0.4655292922630906,0.23055753225460646,2.0,0.6037089381460099,0.06684067685687914,13.783749861273336,12.12820516332934,2.063338293215713,12.856736346147954,9.718191002513477,267.1721986029297,2770.1426967978477,0.8979401499964297,0.8765317779034376
1830,546,49.25738238862955,-49.25738238862955,-49.25738238862955,True,1.5091832692474125,0.3838813155144453,0.5500823747366668,0.08935523116961124,3.0,0.3244286120295524,0.12188957989569754,10.200958585919913,0.12468541809879952,1.3029948299801024,20.30239096377045,10.526902744464703,271.2403930258006,1744.444279000163,0.8098907098174095,0.7150799338705838
