rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
867,1690,10.68597005901891,-10.68597005901891,-10.68597005901891,True,1.7990382165022119,0.31996015968028113,0.4993410629334606,0.20688709024791907,0.0,15.052452662552875,14.176393341641168,3.3674260884258636,19.0,10.0,21.0,13.5,313.41701052285697,2326.9097850127528,24.07775113435871
868,3539,10.68597005901891,-10.68597005901891,-10.68597005901891,True,1.7990382165022119,0.31996015968028113,0.4993410629334606,0.20688709024791907,0.0,15.052452662552875,14.176393341641168,3.3674260884258636,19.0,10.0,21.0,13.5,313.41701052285697,2326.9097850127528,24.07775113435871
869,2299,10.687136136015784,-10.687136136015784,-10.687136136015784,True,1.817564936329073,0.3759648372861288,0.7189809333373328,0.18346699269024613,0.0,15.032736773704645,11.931484509097045,3.3166581671226565,21.0,13.0,21.0,12.0,238.57886820097204,2307.7611601364647,29.428858856082485
870,3540,10.687136136015784,-10.687136136015784,-10.687136136015784,True,1.817564936329073,0.3759648372861288,0.7189809333373328,0.18346699269024613,0.0,15.032736773704645,11.931484509097045,3.3166581671226565,21.0,13.0,21.0,12.0,238.57886820097204,2307.7611601364647,29.428858856082485
871,3541,10.690035504681378,-10.690035504681378,-10.690035504681378,True,1.8230415046512178,0.3829221579643395,0.45242387618941027,0.1939995734380486,0.0,15.249624992472546,11.90039851026953,3.3427698035470033,17.0,10.0,16.0,10.0,377.5309952095953,2199.370907173835,20.685461263512828
872,1401,10.690037989095963,-10.690037989095963,-10.690037989095963,True,1.7959908308009118,0.35794033441324485,0.39300330574518383,0.12834793110724657,0.0,15.035211222405048,7.496922511336134,3.342824254866515,14.0,7.0,16.0,10.0,526.2941189325238,2430.85517928667,21.499595071201615
873,3542,10.690037989095963,-10.690037989095963,-10.690037989095963,True,1.7959908308009118,0.35794033441324485,0.39300330574518383,0.12834793110724657,0.0,15.035211222405048,7.496922511336134,3.342824254866515,14.0,7.0,16.0,10.0,526.2941189325238,2430.85517928667,21.499595071201615
874,1711,10.69012036139239,-10.69012036139239,-10.69012036139239,True,1.7742701947810968,0.341489787604351,0.4166057175704988,0.2579873452919247,0.0,15.211079557122925,9.620874272608107,3.322984748664517,16.0,10.0,22.0,10.0,391.34058939152607,2211.871944782813,26.90109824703707
875,3543,10.69012036139239,-10.69012036139239,-10.69012036139239,True,1.7742701947810968,0.341489787604351,0.4166057175704988,0.2579873452919247,0.0,15.211079557122925,9.620874272608107,3.322984748664517,16.0,10.0,22.0,10.0,391.34058939152607,2211.871944782813,26.90109824703707
876,167,10.690157297284635,-10.690157297284635,-10.690157297284635,True,1.7910207269469156,0.3475993359950713,0.6660948364730575,0.2734561050239699,0.0,15.340779567347383,12.58052490998755,3.1973498445547164,20.0,13.0,21.0,13.5,286.897159001556,2244.909475323873,18.776472724451075
877,3544,10.690157297284635,-10.690157297284635,-10.690157297284635,True,1.7910207269469156,0.3475993359950713,0.6660948364730575,0.2734561050239699,0.0,15.340779567347383,12.58052490998755,3.1973498445547164,20.0,13.0,21.0,13.5,286.897159001556,2244.909475323873,18.776472724451075
878,3545,10.691380236790842,-10.691380236790842,-10.691380236790842,True,1.8192958471691325,0.3360422655909505,0.6003124000930186,0.17550670930559437,0.0,15.294447987114719,12.808204765976102,3.361420729699871,16.0,10.0,14.0,10.0,391.84054085866234,2183.702284562618,14.915525708340516
879,543,10.691796931812352,-10.691796931812352,-10.691796931812352,True,1.756381405259802,0.3444843395283641,0.5746991199702908,0.26259906395833926,0.0,15.209104983742124,13.600824154006277,3.231706338577352,15.0,8.0,14.0,10.0,459.36488360552784,2332.5981948060007,24.87693924107587
880,3546,10.691796931812352,-10.691796931812352,-10.691796931812352,True,1.756381405259802,0.3444843395283641,0.5746991199702908,0.26259906395833926,0.0,15.209104983742124,13.600824154006277,3.231706338577352,15.0,8.0,14.0,10.0,459.36488360552784,2332.5981948060007,24.87693924107587
881,1726,10.692240970826834,-10.692240970826834,-10.692240970826834,True,1.8251348502323896,0.37635204899046837,0.7201092206074085,0.265136251181723,0.0,15.59710367098593,14.836231662714072,3.175700556365819,20.0,10.0,22.0,13.0,290.9898285828955,2280.656795951906,17.177624684174468
882,3547,10.692240970826834,-10.692240970826834,-10.692240970826834,True,1.8251348502323896,0.37635204899046837,0.7201092206074085,0.265136251181723,0.0,15.59710367098593,14.836231662714072,3.175700556365819,20.0,10.0,22.0,13.0,290.9898285828955,2280.656795951906,17.177624684174468
883,879,10.692602659149813,-10.692602659149813,-10.692602659149813,True,1.8139154543630294,0.3532510884140412,0.354817907020874,0.18137921672307789,0.0,15.173830872377843,15.157231480804231,3.330519286255565,18.0,8.0,16.0,12.0,351.23298506754014,2385.4963807957665,19.242625454858462
884,3548,10.692602659149813,-10.692602659149813,-10.692602659149813,True,1.8139154543630294,0.3532510884140412,0.354817907020874,0.18137921672307789,0.0,15.173830872377843,15.157231480804231,3.330519286255565,18.0,8.0,16.0,12.0,351.23298506754014,2385.4963807957665,19.242625454858462
885,2248,10.692756734854255,-10.692756734854255,-10.692756734854255,True,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
886,3549,10.692756734854255,-10.692756734854255,-10.692756734854255,True,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
887,681,10.694694050605465,-10.694694050605465,-10.694694050605465,True,1.7966295074634586,0.370025101093531,0.4930963364184512,0.08969363065634711,0.0,15.115015712767416,12.633191797595716,3.305197824389463,20.0,8.0,16.0,12.0,338.5080738374429,2736.2618313736566,19.22952283492252
888,3550,10.694694050605465,-10.694694050605465,-10.694694050605465,True,1.7966295074634586,0.370025101093531,0.4930963364184512,0.08969363065634711,0.0,15.115015712767416,12.633191797595716,3.305197824389463,20.0,8.0,16.0,12.0,338.5080738374429,2736.2618313736566,19.22952283492252
