rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
63,852,-6.2296430756576715,6.2296430756576715,6.170452883117887,True,1.8208597741219643,0.3917431642074857,0.7269617250804786,0.260004580916662,21.374130628991075,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
64,387,-6.229071513421012,6.229071513421012,6.170411113079154,True,1.8235584705489718,0.39436836224275496,0.5690937323502145,0.19446329191408337,15.960593667270611,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
65,338,-6.228324189638486,6.228324189638486,6.170369348008608,True,1.8146652589402095,0.39657085772683787,0.631837209191693,0.15761221946444265,5.23857748393025,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
66,707,-6.229669075292734,6.229669075292734,6.170327587905362,True,1.8279837555913083,0.3867145285619108,0.7744371715072629,0.23923193725855724,20.462480257234773,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
67,231,-6.2292216595965,6.2292216595965,6.170327587905362,True,1.827300866278361,0.39011565764540335,0.6193769860238961,0.25421060348221414,25.883488533030015,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
68,202,-6.228340747782202,6.228340747782202,6.170327587905362,True,1.811164879016079,0.3993137790111032,0.5949104894623043,0.14864111349749687,7.440787898527274,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
69,878,-6.228340747782202,6.228340747782202,6.170327587905362,True,1.811164879016079,0.3993137790111032,0.5949104894623043,0.14864111349749687,7.440787898527276,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
70,472,-6.25053501861193,6.25053501861193,6.170285832768533,True,1.8166128224816496,0.3978090571494869,0.55702499146424,0.2769072097669306,20.093816450641423,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
71,662,-6.235682182571468,6.235682182571468,6.170244082597233,True,1.7467677145600593,0.35815160094598336,0.6881711279571225,0.15415803799154312,13.286707746584199,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
72,206,-6.228973236358768,6.228973236358768,6.170244082597233,True,1.82804053510647,0.3919441572064462,0.5455358356252356,0.2645621085361225,17.695501756118063,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
73,143,-6.250457292265303,6.250457292265303,6.170202337390577,True,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
74,869,-6.2289006694835845,6.2289006694835845,6.170202337390577,True,1.8163577042176888,0.3965013422055843,0.5735713735694998,0.15680802474460215,17.477298715496744,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
75,305,-6.235758488127641,6.235758488127641,6.170160597147679,True,1.7502820611731467,0.35572544441131926,0.7314101169927525,0.1088671254041607,15.42536708543544,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
76,739,-6.2326415155806245,6.2326415155806245,6.170160597147679,True,1.7528599653441628,0.2820971861761481,0.7123292597400069,0.1407198829902641,0.23607818243692336,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
77,274,-6.229178195902633,6.229178195902633,6.170160597147679,True,1.8281072630850743,0.38751832663784874,0.6604247984862868,0.1860718566476097,26.880417452754656,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
78,290,-6.2343092207242705,6.2343092207242705,6.170118861867653,True,1.7533420676888023,0.3562241211108423,0.5830231007398035,0.12478561087687093,2.4907459015186895,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
79,440,-6.233691716588492,6.233691716588492,6.170077131549617,True,1.7513327523119746,0.28262412741780285,0.6048421572893858,0.21493676278740165,7.257912680506706,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
80,512,-6.237855711025413,6.237855711025413,6.1700354061926825,True,1.8240171917842165,0.33265265344065703,0.40921346995464725,0.10751964198509598,29.09873233971659,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
81,356,-6.248384723510569,6.248384723510569,6.1699936857959665,True,1.8247425868731426,0.396040126650295,0.47384054563664224,0.08131748327262411,0.12910466715591085,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
82,296,-6.234478041449411,6.234478041449411,6.1699936857959665,True,1.7502349519184932,0.282492887816313,0.7465371694061704,0.2865177775832042,14.845288693904877,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
