rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1852,2216,3.842882281033135,-3.842882281033135,-3.842882281033135,True,1.4894995216821598,0.1536634240891444,0.7479581941326794,0.2555069317420283,0.0,0.38310359786599874,15.532959990696675,2.274412394468147,16.97051981125967,9.020214605633708,244.56188964805636,1142.6119431853294,0.7040657522156835,0.6403263062238693,6
1853,1954,3.8442367966769595,-3.8442367966769595,-3.8442367966769595,True,1.6044606020285241,0.22273396586859556,0.6726802077695534,0.08950335380748262,0.0,0.45596702014563445,4.504765676651226,2.6568135806460074,21.660242186987915,11.90615049437838,290.57507217526995,2223.2811281254353,0.7445571811610132,0.8889725223029593,6
1854,1164,3.8433978794505084,-3.8433978794505084,-3.8481650207537417,True,1.80398288730111,0.2885471673871613,0.8605116607669299,0.1766956141719616,3.0,0.4520197171960457,1.883464050653406,1.6109529228997976,20.811983665410246,9.79850080556564,485.44536651392724,2099.8364731014703,0.8442437508326687,0.8350006811701094,6
1855,265,3.8589386659383615,-3.8589386659383615,-3.865444264411284,True,1.6162596927195219,0.33277898372111503,0.6671651554436895,0.12710603272305743,0.0,0.45941979328600835,8.023622851670305,3.330140194981725,24.820390552431597,10.624885831978176,488.1105989217758,2135.7529886448947,0.5500993733294308,0.6767684501001766,6
1856,1065,3.8607204708947673,-3.8607204708947673,-3.8785068418591795,True,1.7682920883610844,0.37026800219502387,0.5400512326508761,0.20911369001492858,4.0,0.16195578766018148,2.790678052270275,2.2857381188845083,12.914498498675911,9.277229686411768,460.91793383050043,2455.3114138543606,0.9411501528346934,0.8525459109805524,8
1857,592,3.878665322331721,-3.878665322331721,-3.879326222340813,True,1.0096511232551189,0.36531176760792733,0.572603709809482,0.22262180291116235,0.0,0.542801329882443,3.6381654868147786,3.3351594991981983,21.848886338993907,13.226886889932508,498.68853921070695,1061.1310210078955,0.8448864012025297,0.8139566453173757,6
1858,1204,3.895781293726803,-3.895781293726803,-3.895781293726803,True,1.187365860114619,0.31223393317312004,0.6566731804981828,0.11465792328119279,2.0,0.5829912865139544,3.9323185981755815,3.2885815878398716,17.142406441271305,13.172153433127617,312.8931959159672,2019.4120611995459,0.5559502774849534,0.6302115195430815,6
1859,2711,3.9146834301610927,-3.9146834301610927,-3.9146834301610927,True,1.5608446692876963,0.23327671846694498,0.8090294347979603,0.14681771512541078,2.0,0.20985233175648393,6.680172166903499,3.1361255757355537,21.130578085460606,10.60598910546217,401.86472735859525,1251.9163135439157,0.8207206155075568,0.7104681515306301,8
1860,2716,3.920482202004072,-3.920482202004072,-3.920482202004072,True,1.5418878003784517,0.3268340661952617,0.6569565139626498,0.18795033663443927,1.0,0.6064489608458588,7.555484214622037,3.3427528741939354,18.492346656587085,10.896960083797417,214.40709185791576,2272.3719428603677,0.9670611033160357,0.9762821053154767,8
1861,1417,3.9421083812135693,-3.9421083812135693,-3.9421083812135693,True,1.7617313591676969,0.34694089310086185,0.8502165535927009,0.22502331532100792,2.0,0.21971788839577439,1.4417864479341596,2.114142831639694,18.904643235064643,12.437995698059172,412.7871024158035,1176.4285178902437,0.9951965667728699,0.8395856318452086,6
