generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
44,4,25088,466.63580619999266,53.76355536087534,599.9603222571334,nan,0.8515625,4.138320913833787,-0.3961777158292721,0.3961777158292721,3.6878445518319216,1.80392284203656,0.3554246959038724,0.5945660440251231,0.21076684304785004,1.0,0.34656712419949465,0.045219935841662784,2.968145204058956,1.856429992355018,2.9491332964876467,15.0,10.0,21.0,13.5,330.01605313932487,1269.4601844996214
45,4,25600,475.0127272999962,53.893292808199256,589.0157818519953,nan,0.865234375,4.369067737584904,-0.3961777158292721,0.3961777158292721,3.6878445518319216,1.80392284203656,0.3554246959038724,0.5945660440251231,0.21076684304785004,1.0,0.34656712419949465,0.045219935841662784,2.968145204058956,1.856429992355018,2.9491332964876467,15.0,10.0,21.0,13.5,330.01605313932487,1269.4601844996214
46,4,26112,482.8047499999957,54.08397494018075,577.4723480392105,nan,0.876953125,4.508753824838126,-4.685537014362161,4.685537014362161,4.685537014362161,1.7320902727738021,0.34023195597530254,0.6630087057187359,0.28132221879437563,0.0,0.5133900234795461,0.08091195644420399,1.214953022357946,0.7745972489160948,1.2075680452021391,20.0,13.0,22.0,10.0,307.7673084102571,1579.0789611637592
47,4,26624,492.3043636999937,54.080365650027936,568.0434965769158,nan,0.892578125,4.794626558099835,-4.685537014362161,4.685537014362161,4.685537014362161,1.7320902727738021,0.34023195597530254,0.6630087057187359,0.28132221879437563,0.0,0.5133900234795461,0.08091195644420399,1.214953022357946,0.7745972489160948,1.2075680452021391,20.0,13.0,22.0,10.0,307.7673084102571,1579.0789611637592
48,4,27136,507.39309559999674,53.481216507117516,564.8338234037699,nan,0.908203125,5.125842351281781,-4.685537014362161,4.685537014362161,4.685537014362161,1.7320902727738021,0.34023195597530254,0.6630087057187359,0.28132221879437563,0.0,0.5133900234795461,0.08091195644420399,1.214953022357946,0.7745972489160948,1.2075680452021391,20.0,13.0,22.0,10.0,307.7673084102571,1579.0789611637592
49,4,27648,521.2713041999959,53.03955881943638,559.8839933999957,nan,0.919921875,5.50458088271525,-4.685537014362161,4.685537014362161,4.685537014362161,1.7320902727738021,0.34023195597530254,0.6630087057187359,0.28132221879437563,0.0,0.5133900234795461,0.08091195644420399,1.214953022357946,0.7745972489160948,1.2075680452021391,20.0,13.0,22.0,10.0,307.7673084102571,1579.0789611637592
50,4,28160,535.1721112999949,52.61858644239908,554.6329153472674,nan,0.9296875,5.734643607094532,-4.685537014362161,4.685537014362161,4.685537014362161,1.7320902727738021,0.34023195597530254,0.6630087057187359,0.28132221879437563,0.0,0.5133900234795461,0.08091195644420399,1.214953022357946,0.7745972489160948,1.2075680452021391,20.0,13.0,22.0,10.0,307.7673084102571,1579.0789611637592
51,5,29184,580.6229703999998,50.26325427651391,560.250234596491,nan,0.791015625,3.531843160313397,-5.5974094524100995,5.5974094524100995,5.5974094524100995,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027546,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
52,5,29696,592.9284233999933,50.08361688872333,552.0368079930972,nan,0.828125,3.907982596774308,-5.5974094524100995,5.5974094524100995,5.5974094524100995,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027546,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
53,5,30208,608.6488367999991,49.63124575875316,546.7523449220331,nan,0.86328125,4.363568926517953,-5.5974094524100995,5.5974094524100995,5.5974094524100995,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027546,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
54,5,30720,618.6399193999969,49.657319284850786,536.1545968133306,nan,0.876953125,4.5084082403275385,-5.5974094524100995,5.5974094524100995,5.5974094524100995,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027546,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
55,5,31232,634.2489383999928,49.242494719484036,530.2737025967152,nan,0.900390625,5.1023906695816965,-5.5974094524100995,5.5974094524100995,5.5974094524100995,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027546,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
56,5,31744,648.3537891000014,48.96092308501005,522.8659589516141,nan,0.912109375,5.300567067815703,-5.5974094524100995,5.5974094524100995,5.5974094524100995,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027546,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
57,5,32256,665.488818400001,48.46963481302566,517.6024143111119,nan,0.927734375,6.198914371318384,-5.5974094524100995,5.5974094524100995,5.5974094524100995,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027546,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
