rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
250,278,-5.555915687466865,5.555915687466865,5.516496174661171,True,1.4297299869337863,0.3915018409576374,0.8038602575603117,0.16983266203241265,3.0,1.0,3.372337815123424,4.463608319335351,17.266291069756058,11.526696236582957,328.3614202304099,1554.246060354515,0.7212041972973035,0.9591935974398379
251,300,-5.553756743724598,5.553756743724598,5.516436437113504,True,1.4858751385654925,0.37980756656629994,0.7477552677688637,0.1040571367349324,3.0,1.0,3.384523371581035,4.239894820415724,17.74156119236182,11.45624688532429,314.02976940626536,1578.4557709425826,0.7757803287689539,0.96609241209486
252,178,-5.559052716764457,5.559052716764457,5.516298314744098,True,1.4386209439019944,0.39194392562937475,0.7144057485781794,0.15515338601365586,3.0,1.0,3.3707084770333013,4.35155037278894,18.1208939330386,11.039864414657238,304.93490669325485,1601.940742009353,0.6886409197949172,0.9971366335931824
253,442,-5.523611091430304,5.523611091430304,5.516194671587136,True,1.1958657498001886,0.3670837634514365,0.654804709738552,0.20410483217745745,3.0,1.0,2.7664440931291603,4.242911452975008,18.377144738314676,9.549662627956852,321.98955687827447,2426.1424360594165,0.722346117815581,0.9867435214119203
254,247,-5.556483429274899,5.556483429274899,5.516123742652951,True,1.4677179268875884,0.38305256689421313,0.7398916459836664,0.16250926552120423,3.0,1.0,3.376914379558971,4.258671233958244,18.412666097445268,10.738093938522448,309.44739143732613,1840.6209424741642,0.7442905437416666,0.962169629623304
255,390,-5.5673275360554815,5.5673275360554815,5.515900256469111,True,1.5099681147961006,0.3941212329423204,0.7733547230915367,0.09203512729985479,3.0,1.0,3.407241213254857,4.405622055851449,19.16799768574203,10.998385266960742,288.94227691786216,2074.571578208871,0.8890861555284699,0.9987703304680433
256,415,-5.537589839791292,5.537589839791292,5.515476681342493,True,1.4890263471245833,0.37851079141242605,0.6724081821150794,0.1408452393258646,3.0,1.0,3.388205720910224,4.312469057722336,20.693551698022137,11.18825402945328,258.2320335364471,1504.4268103897123,0.8514163722499932,0.9844275304218277
257,270,-5.554375805782533,5.554375805782533,5.515082199554605,True,1.5159255028134404,0.39346325096239554,0.7844092138334435,0.1288048152647139,3.0,1.0,3.4110466801432757,4.462031441708132,18.652814718352154,11.15331120008377,304.88173065007754,1813.0084984502525,0.747945013216273,0.950270021703882
258,85,-5.551820711337482,5.551820711337482,5.51504225668826,True,1.5016512951661158,0.3746983102783976,0.789263777425555,0.15039836789542635,3.0,1.0,3.3784349201986226,4.169725087855937,17.72909413222051,10.147457463610374,330.79778062319883,1441.619217527224,0.8626375896943327,0.9652946936381759
259,16,-5.55918445139123,5.55918445139123,5.514937383312401,True,1.451758261146008,0.3712060725017418,0.8097518107542039,0.11056548160569128,3.0,1.0,3.3715714167824866,4.425184400625937,18.674966835266428,10.348348560655358,324.7111373199201,1172.4584479226774,0.7840401923028472,0.9936431691986685
