generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
31,16384,232.91547550004907,70.34311466348464,1957.9457159222875,0.006376390710041643,28.5,-28.5,1.3582222431153288,0.27965050768920485,0.6459596058455963,0.24405189563371948,3.0,21.762287344305904,1.152200125641769,20.71156928350804,15.121611050017771,302.0533191233299,1230.2224044414825,0.8827750990351986,0.9479335600308344
32,16896,240.0936735998839,70.37253313120272,1949.8516522657237,0.006508765970074216,28.5,-28.5,1.3582222431153288,0.27965050768920485,0.6459596058455963,0.24405189563371948,3.0,21.762287344305904,1.152200125641769,20.71156928350804,15.121611050017771,302.0533191233299,1230.2224044414825,0.8827750990351986,0.9479335600308344
33,17408,248.04721880005673,70.18018619282346,1947.900218223975,0.006692612945358635,28.5,-28.5,1.3582222431153288,0.27965050768920485,0.6459596058455963,0.24405189563371948,3.0,21.762287344305904,1.152200125641769,20.71156928350804,15.121611050017771,302.0533191233299,1230.2224044414825,0.8827750990351986,0.9479335600308344
34,17920,255.22420359984972,70.21277663812661,1939.703947358858,0.006934114209570178,28.5,-28.5,1.3582222431153288,0.27965050768920485,0.6459596058455963,0.24405189563371948,3.0,21.762287344305904,1.152200125641769,20.71156928350804,15.121611050017771,302.0533191233299,1230.2224044414825,0.8827750990351986,0.9479335600308344
35,18432,262.89874710002914,70.11064222754509,1935.2268883752147,0.006938953548725163,28.5,-28.5,1.3602473573676706,0.3140459963281077,0.5912075727602872,0.26538890501206464,5.0,21.762287344305904,1.2629090560916347,23.903079884389903,16.42014949043249,323.6777018026066,1345.3691123413732,0.8837365337476195,0.9479335600308344
36,18944,269.86701659997925,70.19753743407803,1925.5376319566087,0.00736404622932253,28.5,-28.5,1.3602473573676706,0.3140459963281077,0.5912075727602872,0.26538890501206464,5.0,21.762287344305904,1.2629090560916347,23.903079884389903,16.42014949043249,323.6777018026066,1345.3691123413732,0.8837365337476195,0.9479335600308344
37,19456,277.43558020005,70.12799146371526,1920.1462524371884,0.007389390837261244,28.5,-28.5,1.3602473573676706,0.3140459963281077,0.5912075727602872,0.26538890501206464,5.0,21.762287344305904,1.2629090560916347,23.903079884389903,16.42014949043249,323.6777018026066,1345.3691123413732,0.8837365337476195,0.9479335600308344
38,19968,283.6247362999711,70.40288608283153,1905.3764336049344,0.007934450981785263,28.5,-28.5,1.3602473573676706,0.3140459963281077,0.5912075727602872,0.26538890501206464,5.0,21.762287344305904,1.2629090560916347,23.903079884389903,16.42014949043249,323.6777018026066,1345.3691123413732,0.8837365337476195,0.9479335600308344
39,20480,290.2362450999208,70.56320616658084,1893.7914992769834,0.007934450981785263,28.5,-28.5,1.21073484770067,0.3409067413548771,0.5990398460121352,0.27981776740806374,5.0,21.762287344305904,1.420689082640795,22.418540965987788,16.42014949043249,405.0203804443074,1345.3691123413732,0.8566519288834831,0.9479335600308344
40,20992,297.88939799997024,70.469107463845,1889.0547190242016,0.008373848272685344,28.5,-28.5,1.25794983285336,0.3409067413548771,0.568711746833658,0.27981776740806374,5.0,19.927252580236654,1.420689082640795,24.188088531727118,16.42014949043249,405.0203804443074,1463.4495095819047,0.8476956466473513,0.5627495047433755
41,21504,306.7600149998907,70.10040079704541,1891.6867591659927,0.008382832157665302,28.5,-28.5,1.0924083881786883,0.35095679332372454,0.6531131475035148,0.1719204462830852,5.0,19.927252580236654,1.480612591961552,22.185290846567725,16.482778150540312,405.0203804443074,1617.1669177167198,0.7080311607744989,0.5925447363678661
42,22016,315.7116101998836,69.73452761544377,1894.2696611993015,0.009726552412064382,28.5,-28.5,1.0924083881786883,0.35095679332372454,0.6531131475035148,0.1719204462830852,5.0,19.927252580236654,1.480612591961552,22.185290846567725,16.482778150540312,405.0203804443074,1617.1669177167198,0.7080311607744989,0.5925447363678661
43,22528,323.48223940003663,69.64215420847445,1889.4303528593048,0.009726552412064382,28.5,-28.5,1.2641143191411945,0.3354259064308401,0.7677069118165663,0.09089227416202443,4.0,19.927252580236654,1.480612591961552,22.248965684299087,16.482778150540312,463.0375487445264,1698.4897222965578,0.9403488581870134,0.8143277353537126
44,23040,332.3451197000686,69.32552528766753,1890.6744587381681,0.0835833972005654,28.5,-28.5,1.2641143191411945,0.3548171572991058,0.6442582282204217,0.11455329633848275,4.0,20.31128846868146,1.7050544191738777,22.248965684299087,14.758457147906286,483.9742942023264,1698.4897222965578,0.9706660789511248,0.8143277353537126
45,23552,341.5852741000708,68.94910813134236,1893.5705412069142,0.0835833972005654,28.5,-28.5,0.9851566070687845,0.3623589278123914,0.4660628120258229,0.12143204411456336,5.0,20.708400721923223,1.9934266470497901,21.056892977703612,14.758457147906286,483.9742942023264,1698.4897222965578,0.780715582843228,0.7463288312190541
46,24064,348.3305663000792,69.08380236510564,1882.4673157493644,0.73772852857154,28.5,-28.5,1.205036702177571,0.3623589278123914,0.5286631372641395,0.19802895711889307,5.0,20.708400721923223,1.8244106265134596,22.00748151656297,14.758457147906286,386.64600524516027,1339.981044581225,0.849554912958445,0.9653581190335163
47,24576,355.5855759999249,69.1141645183189,1874.2323068329376,45035996273.70496,28.5,-28.5,1.1752581669014142,0.36431786427983776,0.8555174402972583,0.21930084686702667,4.0,20.201410210169406,1.6851250811067324,22.00748151656297,11.177614003792073,478.8556793784337,1519.5886050183703,0.7269732092177951,0.5193076672607566
