generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
60,5,33792,783.8228050000034,43.11178468454978,1211.3625168181873,nan,0.927734375,5.348106298018096,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
61,0,34816,833.3674751999934,41.77748836627537,1225.5404047058726,nan,0.951171875,6.279265212440279,-4.753042511925502,4.753042511925502,5.540619515263685,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
62,0,35328,839.5867364000005,42.07784433503585,1204.6244478782617,nan,0.95703125,6.585439082133339,-4.753042511925502,4.753042511925502,5.540619515263685,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
63,0,35840,849.2783813999995,42.2005325755723,1188.9897339599993,nan,0.97265625,8.349100079219061,-4.753042511925502,4.753042511925502,5.540619515263685,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
64,0,36352,857.1897751999932,42.40834532996922,1171.0902562591457,nan,0.974609375,9.898131701921576,-4.753042511925502,4.753042511925502,5.540619515263685,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
65,0,36864,864.8516009000014,42.62465371126995,1153.1354678666685,nan,0.974609375,11.067237005963266,-4.753042511925502,4.753042511925502,5.540619515263685,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
66,0,37376,875.8269159000047,42.67509860848728,1139.7747535684994,nan,0.9765625,11.079881632352777,-4.753042511925502,4.753042511925502,5.540619515263685,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
67,0,37888,886.135125300003,42.75645882694576,1125.6311051108146,nan,0.978515625,11.093996438362126,-4.753042511925502,4.753042511925502,5.540619515263685,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
68,0,38400,895.172870800001,42.89674235288494,1110.0143597920012,nan,0.982421875,11.117594960234374,-4.753042511925502,4.753042511925502,5.540619515263685,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
69,0,38912,906.3287217000034,42.933649864932725,1097.1347683736883,nan,0.982421875,11.119320340311614,-4.753042511925502,4.753042511925502,5.540619515263685,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
