case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,coarse_status,coarse_velocity,coarse_alpha,coarse_elevator_deflection,coarse_elapsed_seconds,full_status,full_velocity,full_alpha,full_elevator_deflection,full_elapsed_seconds
124,1.7127811317966275,0.3362572418626585,0.755405324798113,0.28300048251321397,6,3,3.594583933422305,6.909462189782216,ok,26.860760542653523,-0.3149789079820145,-2.6792587229499327,0.018267099978402257,ok,29.15131535560514,-1.4060791845936893,-0.5618149783694665,1.611956800101325
125,1.6886413372535978,0.14499981614623692,0.5845415165284051,0.08527108652143224,10,6,1.101015435923918,9.43987601678463,ok,29.490458990581736,0.23106503092929012,0.5449003988226163,0.01799679989926517,ok,30.379677535933872,-0.3101723369396454,0.45411786432498763,1.5198545998428017
126,1.1622444407143573,0.26632213135475413,0.3596259997550655,0.08504300508182741,9,4,2.790690872073416,9.229808662836827,ok,28.314884849133044,0.8464252211452618,-3.339296756889602,0.015886500012129545,ok,29.962672590875755,-0.26191942242811267,-1.251208141926769,1.5019191999454051
127,0.8345476714680892,0.265783130308171,0.5107338317710515,0.08441300476369502,8,6,1.3421851355719554,5.7252631239602385,ok,29.007275024838567,1.9288156761241115,-4.356679921577523,0.12031390005722642,ok,30.14227879995016,0.6198496460950582,-1.705522563565505,1.490942700067535
128,1.2127171468973956,0.2331733049415195,0.5175266423707416,0.22012566030294634,8,4,1.5434194639447414,3.3311236889309743,ok,28.891076047834762,0.6100870186843722,-2.558142728486017,0.015502899885177612,ok,30.128150131805715,-0.3078391599599282,-0.8041631219428744,1.4683753000572324
129,1.1789432408587408,0.27438251466036534,0.7048111913523243,0.2738091234207996,5,9,4.204962136905542,4.5611869431619585,ok,28.598137356318368,0.5180381745845041,-3.0971515335961524,0.015714700100943446,ok,29.959771585719295,-0.5827017147846623,-0.8528669774018,1.5292595999781042
130,1.1898090667731753,0.12692780027969813,0.8354523379163779,0.2949780345941145,3,3,1.2204596949533442,2.0261810156720985,ok,30.212758919792257,1.501228410014619,2.642744090013642,0.020002499921247363,ok,30.49618003704522,0.746514336214003,0.6806798070535507,1.6473197999875993
131,1.0067795895492893,0.18758829922388576,0.31898996368826,0.10254178652616215,4,5,4.482437901984573,2.2220489170077586,ok,29.528379648349517,1.4499591489954637,-1.6735282642171283,0.018988600000739098,ok,30.378300831913663,0.5710577139315387,-0.6470750325188466,1.6440689999144524
132,1.2157612576029357,0.20227162957625175,0.3618680643255676,0.08663053599264844,3,4,1.9720462769218456,4.037640450146016,ok,29.120834788042387,0.765699574165343,-1.9147285659322424,0.016215399838984013,ok,30.28023792190426,-0.05031102943545126,-0.645210628848123,1.57011039997451
133,1.433263330190663,0.16568659994514562,0.855290565803559,0.27354906526813144,9,8,4.831221952425098,3.7261527407528106,ok,29.57246597090325,0.4429721186206622,-0.45058678895744003,0.016104700043797493,ok,30.295409779893802,-0.17370796856203405,0.04665075537662322,1.4790611998178065
134,1.5023185702326136,0.17352845924222143,0.390128336602393,0.2692764031751213,9,3,0.5015225057934971,2.095028050020173,ok,29.16067722593407,0.3257369235719892,-0.7629820121644472,0.015735500026494265,ok,30.198621975164748,-0.3006098750912736,-0.0931219253199457,1.5929910999257118
