generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
33,3,18944,1143.1698204999993,16.571466163893547,2317.236122635134,0.0,-4.836692164439686,4.836692164439686,1.712637105204165,0.1837482289597392,0.6784206116572022,0.12547082111239433,0.0,0.2205764867484569,0.05725723228333518,1.9833792810993813,0.14731343796565,2.6730630667628468,12.326442571356893,8.544682225500875,11.991527760401368,8.93637465171821,566.6595355607569,1783.3052575588226
34,3,19456,1156.15288899999,16.828224177883943,2251.455625947349,0.0,-4.836692164439686,4.836692164439686,1.712637105204165,0.1837482289597392,0.6784206116572022,0.12547082111239433,0.0,0.2205764867484569,0.05725723228333518,1.9833792810993813,0.14731343796565,2.6730630667628468,12.326442571356893,8.544682225500875,11.991527760401368,8.93637465171821,566.6595355607569,1783.3052575588226
35,3,19968,1171.7863276999997,17.040649415319173,2193.3436390282045,0.0,-4.836692164439686,4.836692164439686,1.712637105204165,0.1837482289597392,0.6784206116572022,0.12547082111239433,0.0,0.2205764867484569,0.05725723228333518,1.9833792810993813,0.14731343796565,2.6730630667628468,12.326442571356893,8.544682225500875,11.991527760401368,8.93637465171821,566.6595355607569,1783.3052575588226
36,3,20480,1185.7539754000027,17.27171101668984,2134.357155720005,0.0,-5.065909577013711,5.065909577013711,1.7562292867279068,0.2801398620142971,0.8030100798927017,0.12173268365209183,0.0,0.30568717489624286,0.0824056595451501,2.7386526599889365,1.8192792245518632,3.073707266932206,10.239453135657573,7.730460073597007,16.61637173063812,12.632244310726481,472.72226397466653,1262.481753665393
37,3,20992,1210.6961194999894,17.33878523429114,2096.5713288902257,0.0,-5.113645226711757,5.113645226711757,1.7486134966930345,0.28891129729736864,0.7376442840830427,0.19814327377137692,0.0,0.31355662918724114,0.071629286998495,3.327283765207227,1.9673419762962325,2.076072807719214,15.781266815376876,6.9418242377927895,15.119276570806083,9.443594945041745,425.09707773613223,2391.8099301835423
38,3,21504,1231.9938941,17.454631961231566,2053.3231568333335,0.0,-5.113645226711757,5.113645226711757,1.7486134966930345,0.28891129729736864,0.7376442840830427,0.19814327377137692,0.0,0.31355662918724114,0.071629286998495,3.327283765207227,1.9673419762962325,2.076072807719214,15.781266815376876,6.9418242377927895,15.119276570806083,9.443594945041745,425.09707773613223,2391.8099301835423
39,3,22016,1262.2202142999886,17.4422812680193,2025.4231345744004,0.0,-5.371082021944835,5.371082021944835,1.768862470674753,0.3555045468224056,0.6542348941088783,0.2504529147401628,0.0,0.332686296267828,0.08809102342315017,5.1863027502551375,1.4346328054910273,3.3205211239077403,15.119212742141888,9.572185773767627,17.606419997593928,12.547002517189094,458.427075312787,2498.9635230209033
40,3,22528,1304.9379076999903,17.263656659117657,2016.7222209908941,0.0,-5.371082021944835,5.371082021944835,1.768862470674753,0.3555045468224056,0.6542348941088783,0.2504529147401628,0.0,0.332686296267828,0.08809102342315017,5.1863027502551375,1.4346328054910273,3.3205211239077403,15.119212742141888,9.572185773767627,17.606419997593928,12.547002517189094,458.427075312787,2498.9635230209033
41,4,23552,1437.3049272999924,16.38622365557664,2062.220113082598,0.0,5.357061688537433,-5.357061688537433,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,17.976018004119396,7.317449241044742,21.31099350284785,10.37588852869719,402.91041075251997,2330.32900840044
42,4,24064,1465.8048932999955,16.41691886143472,2027.1769800957381,0.0,5.357061688537433,-5.357061688537433,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,17.976018004119396,7.317449241044742,21.31099350284785,10.37588852869719,402.91041075251997,2330.32900840044
43,4,24576,1481.4683554999938,16.588946978692388,1975.2911406666583,0.0,5.357061688537433,-5.357061688537433,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,17.976018004119396,7.317449241044742,21.31099350284785,10.37588852869719,402.91041075251997,2330.32900840044
44,4,25088,1509.0212988999992,16.62534519445676,1940.1702414428562,0.0,5.357061688537433,-5.357061688537433,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,17.976018004119396,7.317449241044742,21.31099350284785,10.37588852869719,402.91041075251997,2330.32900840044
45,4,25600,1529.1978202000028,16.740803355743598,1896.2052970480033,0.0,5.357061688537433,-5.357061688537433,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,17.976018004119396,7.317449241044742,21.31099350284785,10.37588852869719,402.91041075251997,2330.32900840044
46,4,26112,1546.4386066000006,16.885248394962044,1849.661862796079,0.0,5.357061688537433,-5.357061688537433,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,17.976018004119396,7.317449241044742,21.31099350284785,10.37588852869719,402.91041075251997,2330.32900840044
47,4,26624,1568.485922699998,16.974331496816585,1809.7914492692285,0.0,5.357061688537433,-5.357061688537433,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,17.976018004119396,7.317449241044742,21.31099350284785,10.37588852869719,402.91041075251997,2330.32900840044
48,4,27136,1587.7054798000026,17.091331071943028,1767.4457227962293,0.0,-5.0533963890073315,5.0533963890073315,1.7332489024077984,0.24789896612349652,0.6212260304397381,0.17164372926947818,0.0,0.40685255959570477,0.03360669303076447,2.7347960918196534,2.0494323193814594,2.1615473697756857,21.351456314553317,11.167658414432754,15.569579809739054,11.906522178749954,315.4250443311905,1363.3285444229841
49,4,27648,1625.376573299989,17.010211943603004,1745.7748379888774,0.0,-5.0533963890073315,5.0533963890073315,1.7332489024077984,0.24789896612349652,0.6212260304397381,0.17164372926947818,0.0,0.40685255959570477,0.03360669303076447,2.7347960918196534,2.0494323193814594,2.1615473697756857,21.351456314553317,11.167658414432754,15.569579809739054,11.906522178749954,315.4250443311905,1363.3285444229841
50,4,28160,1662.267096999989,16.940719124394835,1722.7131732545342,0.0,-5.380232538224141,5.380232538224141,1.8274323464333706,0.17508437928613135,0.7968609430335345,0.2155352940292561,0.0,0.3713811013633102,0.10754362698355689,5.342779926123626,2.0523965742505794,2.885066208042646,24.07389747104007,15.565918545437146,17.3778086155653,11.61403931715674,247.48128071040477,2051.1982464027406
51,5,29184,1791.9561363999965,16.286112928316463,1729.0804824912245,0.0,-4.990963822514148,4.990963822514148,1.3348472163241356,0.3237498720735312,0.5350517716258765,0.1447263632901013,0.0,0.3969325055647641,0.030439493609592312,2.2675196024955255,2.149444651569155,2.6791871469971293,21.660992722027004,13.353054250060739,12.431279113516212,8.062943181113376,298.21391315199435,2495.921980589628
52,5,29696,1820.551593199998,16.3115399260963,1694.996310910343,0.0,-4.990963822514148,4.990963822514148,1.3348472163241356,0.3237498720735312,0.5350517716258765,0.1447263632901013,0.0,0.3969325055647641,0.030439493609592312,2.2675196024955255,2.149444651569155,2.6791871469971293,21.660992722027004,13.353054250060739,12.431279113516212,8.062943181113376,298.21391315199435,2495.921980589628
53,5,30208,1838.9008171000023,16.42720462087719,1651.89395434407,0.0,-4.990963822514148,4.990963822514148,1.3348472163241356,0.3237498720735312,0.5350517716258765,0.1447263632901013,0.0,0.3969325055647641,0.030439493609592312,2.2675196024955255,2.149444651569155,2.6791871469971293,21.660992722027004,13.353054250060739,12.431279113516212,8.062943181113376,298.21391315199435,2495.921980589628
54,5,30720,1856.6929974999948,16.54554632422482,1609.133931166662,0.0,-4.990963822514148,4.990963822514148,1.3348472163241356,0.3237498720735312,0.5350517716258765,0.1447263632901013,0.0,0.3969325055647641,0.030439493609592312,2.2675196024955255,2.149444651569155,2.6791871469971293,21.660992722027004,13.353054250060739,12.431279113516212,8.062943181113376,298.21391315199435,2495.921980589628
55,5,31232,1886.6356633999967,16.554335638771565,1577.3511284163906,0.0,-4.990963822514148,4.990963822514148,1.3348472163241356,0.3237498720735312,0.5350517716258765,0.1447263632901013,0.0,0.3969325055647641,0.030439493609592312,2.2675196024955255,2.149444651569155,2.6791871469971293,21.660992722027004,13.353054250060739,12.431279113516212,8.062943181113376,298.21391315199435,2495.921980589628
56,5,31744,1906.6726130000025,16.64889912592454,1537.63920403226,0.0,-4.990963822514148,4.990963822514148,1.3348472163241356,0.3237498720735312,0.5350517716258765,0.1447263632901013,0.0,0.3969325055647641,0.030439493609592312,2.2675196024955255,2.149444651569155,2.6791871469971293,21.660992722027004,13.353054250060739,12.431279113516212,8.062943181113376,298.21391315199435,2495.921980589628
57,5,32256,1932.9393703999958,16.687538416336906,1503.3972880888855,0.0,-5.130820141934583,5.130820141934583,1.5150165722459077,0.38297875065267517,0.47379071566588526,0.13340621565009464,0.0,0.5937409714523703,0.10638175354500316,3.036564320698531,2.046251446883524,3.1885932790721476,17.755720802350993,11.69785270370156,14.637897440102215,7.7584484561739675,329.3773735089074,2710.486663903732
