score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
5.503865695414566,-5.503865695414566,262,1.518612524941078,0.39873868479368696,0.8590302816843562,0.09153607897263522,66.0,21.0,2.172944967717517,4.358713292563037,18.01073170935305,12.830021066867399,294.2928110612786,1801.5463122682731,0.921694034691651,0.9972823256319598
5.503865660770295,-5.503865660770295,257,1.5176542425324966,0.3986432399270816,0.8311013674855874,0.10328036063840808,63.0,20.0,2.233499735461342,4.490576625608945,17.129389477147875,10.666431439987194,345.88121602087324,2074.6109617814736,0.9808960864176519,0.98260609171182
5.50385992309389,-5.50385992309389,245,1.5187507311467616,0.394486611688325,0.8054175039952428,0.22258975801925188,70.0,20.0,2.177987289711666,4.482918937954022,17.825849227633302,12.093948250070678,315.35204489457254,1894.0227875645842,0.9152930417064454,0.9884989786763745
5.503858107729029,-5.503858107729029,245,1.5237093764131837,0.39658771486895605,0.7935050485911668,0.24176779252374822,66.0,21.0,2.172944151231741,4.444928567437029,17.688240343845056,12.869260388070433,300.42876762250967,1863.356627388152,0.9546046364424414,0.9911963420804595
5.503745175009573,-5.503745175009573,267,1.5230269738741744,0.394053152336451,0.8233644727097147,0.21949114162425662,66.0,21.0,2.1901774133814405,4.458407815548307,16.285450102749035,12.317269780772168,337.25158625559396,1792.874280000276,0.9024640360547869,0.9843010409283655
5.503738111954451,-5.503738111954451,269,1.522336251125434,0.3956344327432003,0.8115804719300881,0.12310274178209284,68.0,21.0,2.17654093534994,4.498099449408025,18.493707721091734,12.716130903545881,293.903883580252,1736.465463802758,0.901504193358434,0.9972060388637002
5.503731711068123,-5.503731711068123,245,1.519209143264172,0.3873401168856926,0.8174743350843919,0.18532079028880444,64.0,21.0,2.154402278481872,4.441954435722973,17.854907218081443,12.45318446558439,309.3282620920835,1860.3932243989384,0.9058679421913907,0.9880388817956802
5.503711308793846,-5.503711308793846,265,1.523532035699672,0.39554297535944805,0.7942275342440303,0.1542196394708239,66.0,22.0,2.23773317771481,4.406426073941395,18.534811756959613,12.185627433336629,296.448558375408,2080.862972019387,0.9388258230124631,0.9906947524853259
5.503691244333385,-5.503691244333385,225,1.5178597778493539,0.39778438216510376,0.8075323083675379,0.19543165503376828,69.0,22.0,2.18912897230682,4.397232193867717,17.859759471338947,11.578901172408516,316.6277403747889,1805.8723023549126,0.8798109628426771,0.9981507923926913
5.503627749974164,-5.503627749974164,208,1.5143780433357592,0.39833846161932585,0.8527986765457903,0.143901984122833,70.0,21.0,2.1836260872866635,4.4788895771473864,18.45996024214249,12.059284476368132,309.2441595785659,1852.6986759499246,0.9424097879624106,0.9753289807379564
5.50358471966736,-5.50358471966736,289,1.5181675478043943,0.39784728581325257,0.7769137918791441,0.08966767509873809,67.0,21.0,2.173864316468616,4.4506354888023765,18.045305990738612,12.56979953802389,302.60274412018043,1941.4090006018403,0.9451928607748976,0.9801116922964035
5.503542898235102,-5.503542898235102,260,1.5149297764078788,0.39951893191588905,0.8071386619651248,0.19206963866910456,68.0,21.0,2.1722074350631657,4.478800758969605,18.454201737816533,12.225403489403048,308.4631634520888,1583.6318340274865,0.9495283253558285,0.987823004606964
5.503539320960272,-5.503539320960272,258,1.5229165640420788,0.3997278933682302,0.8756677877966695,0.14647036523729093,69.0,22.0,2.2462323839034983,4.4957578708549875,18.837618611453134,11.274251881739254,312.84380946551323,1766.19204337186,0.8605184822857861,0.9898086232543362
5.5035051281729945,-5.5035051281729945,262,1.5236140108523055,0.3878081860249662,0.8431746882573765,0.2810348463429935,67.0,21.0,2.172394906979979,4.418111221235018,17.19379772929127,12.101208861957524,320.26253491990184,2038.8690739287747,0.9196428552480227,0.996576561107671
